counts_profileVisits,counts_kisses,counts_fans,counts_g
7.581719640125308,3.58351893845611,0.0,0.0
8.282483003730562,4.406719247264253,0.6931471805599453,0.0
8.933927891782632,5.3706380281276624,0.0,0.0
7.2875606403097235,3.9512437185814275,0.0,0.0
4.709530201312334,0.0,0.0,0.0
5.272999558563747,0.0,0.0,0.0
10.083681848313908,6.776506992372183,0.0,0.0
9.413281215972873,5.793013608384144,1.0986122886681098,0.0
5.993961427306569,2.4849066497880004,0.0,0.0
4.1588830833596715,0.0,0.0,0.0
6.859614903654202,3.2188758248682006,0.0,0.0
6.405228458030842,3.4011973816621555,0.0,0.0
5.181783550292085,0.6931471805599453,0.0,0.0
6.354370040797351,2.302585092994046,0.0,0.0
8.516793111394898,5.723585101952381,0.0,0.0
6.07993319509559,2.3978952727983707,0.0,0.0
7.310550158534422,3.9318256327243257,0.0,0.0
2.1972245773362196,0.0,0.0,0.0
7.641084249174914,3.7376696182833684,0.0,0.0
6.930494765951626,2.8903717578961645,0.0,0.0
6.373319789577012,2.302585092994046,0.0,0.0
5.780743515792329,1.6094379124341003,0.0,0.0
8.063062911326792,4.836281906951478,0.0,0.0
5.961005339623274,1.3862943611198906,0.0,0.0
4.976733742420574,0.6931471805599453,0.0,0.0
6.672032945461067,3.1354942159291497,0.0,0.0
5.342334251964811,0.6931471805599453,0.0,0.0
6.419994928147142,1.791759469228055,0.0,0.0
6.289715570908998,3.9512437185814275,0.6931471805599453,0.0
5.921578419643816,2.1972245773362196,4.406719247264253,0.0
6.693323668269949,3.1780538303479458,0.0,0.0
4.418840607796598,0.0,0.0,0.0
6.849066282633458,3.295836866004329,0.0,0.0
8.82217476094608,5.805134968916488,0.0,0.0
5.855071922202427,2.3978952727983707,0.0,0.0
8.960467760919949,6.040254711277414,1.0986122886681098,0.0
5.318119993844216,2.302585092994046,0.0,0.0
6.148468295917647,2.3978952727983707,0.0,0.0
6.664409020350408,3.4657359027997265,0.6931471805599453,0.0
5.8998973535824915,2.6390573296152584,1.3862943611198906,0.0
6.827629234502852,4.07753744390572,0.0,0.0
6.747586526829315,2.302585092994046,0.0,0.0
