age,is_EU,counts_pictures,counts_details,whazzup_len,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,isVip,isHighlighted,isFlirtstar,isNew,isMobile,isOnline,isInfluencer
-1.5268621607000308,1,0.5008111027250605,-0.21289412200424493,0.9650115130644281,0,0,0,-0.18839903410123943,0,0,1,0,0,0,0,0,0,0,1,0,0
0.5147502142839003,1,-0.40423096249831714,0.03248579283362014,-0.6876874422043284,1,0,0,-0.18839903410123943,0,0,1,0,0,0,0,0,0,0,1,0,0
-1.0164590669540479,1,-0.8567519951100059,-1.7465185897409023,-0.764557161054038,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,1,0,0
-1.0164590669540479,1,-0.17797044619247274,-1.7465185897409023,-0.764557161054038,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,1,0,0
0.5147502142839003,1,-0.6304914788041616,0.24719321831675237,-0.764557161054038,0,1,0,1.5286990118625672,1,0,0,0,0,1,0,0,0,0,1,0,0
0.0043471205379175554,1,-0.6304914788041616,0.03248579283362014,-0.764557161054038,1,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
-1.0164590669540479,1,-0.8567519951100059,-1.7465185897409023,0.3116189028418965,0,0,1,-1.905497080065046,0,0,0,0,0,0,0,0,0,1,1,0,0
0.5147502142839003,1,-0.6304914788041616,-1.7465185897409023,-0.11116455083150639,0,1,1,-1.905497080065046,0,0,0,0,0,0,0,0,0,1,1,0,0
0.0043471205379175554,1,-0.40423096249831714,0.03248579283362014,-0.07272969140665159,1,1,1,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
1.5355564017758658,1,-0.40423096249831714,-1.7465185897409023,-0.764557161054038,1,1,1,-1.905497080065046,0,0,0,0,0,0,0,0,0,1,1,0,0
0.0043471205379175554,1,-0.40423096249831714,-0.09020416458531223,-0.764557161054038,0,0,1,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
